account,balance
0x0079CE80043EDc3325598e4A3b6293ab779bf174,1
0x01eaCf1D1cCF7F656FDA1B95BeaFdb3C7fC396A7,1
0x02233A254A2093dC81270B76096e4767146981e0,1
0x03B87d5291A1e4c431E88316f13D39b6b08DAC20,2
0x04Ac7Ae4B26d26cEd9D1312EdfB71383368363CA,1
0x053625a7F0f9DcF8Fb8cf16C5FB977b1f99630F0,1
0x0679953A1d952E9856A318Cd91a5C05a3Dd547e8,1
0x06D44c61D4AC23c7A3c04ab1b87771526A2b1d34,1
0x098BB796F38b27F5828B1ff5C97a7cf4e89DDF86,1
0x09Ce191AA66290BAaCb5262f82C69099948bA009,1
0x0B1A89664970EbEb16d6a1a039017049EEa45a20,1
0x0c704b0E5bc41AdB23fd60641f47064b557dC6A5,1
0x0d021eB6D1C8BBb58437BA4cc08E27d10244a5F3,2
0x0d236A7E38EB459da563068a07EF33171a0ae677,1
0x0dA97d71f7BF4607E778451Cd68c24624Cc6fE89,1
0x0e1668F2C56d79e6f04B0E72845E24332Db91960,1
0x0ee62f47350523Bd94B8DC6F923e785B5Dc95186,1
0x0fa169C5714843A6AbA4dC3c2187D269634E8e79,1
0x0faC5C6bbA6cFE88d7c6224DBdE2b96bE27aEcC8,1
0x10f920ffAD95F53168aF567ECD635a6DD03A8B43,3
0x11FF58544AEa8BdCb28eb350644D331B6F5A71f4,2
0x1254Df8581B92609F087A505F77B4a9Dc89502C3,2
0x1356795C1c7A3F982a44088F2AaF3E4a67dEb601,1
0x135749A097d9D8C1fBad6DDeaCAAC757f0A7633A,3
0x136d06cB3f84B51C25E66F8FbB3791b50A26edf6,1
0x138F66B1F3830ad6485A5ba9c85d22C582278D76,1
0x13dF8Ddb5548a58edc9531c91eae26eaE2E3d351,1
0x145f32972e570AB173eDD3a8265950d3362854a6,1
0x1592221ff5c0397a563d58D7F3E6c95dd444b2CD,2
0x15F5437fa11c749B093e96e0C06352554f6ae8bd,1
0x16a8348DF50a76D43D00571E6cE50049ea2008f0,2
0x171C1CF42C8e11589381f5E4846FFE4E2c7f6D95,1
0x175cD9fBD38b1CAA45C3d23e302Be01F22670684,2
0x1830c41eeDEA4F101688f1aa6b2C2eF9370AD48D,1
0x18A428CE0c31584a21CF8ceFDb8849d8013E1994,3
0x18E368d3F9DE886753381E8b74C29cE2E90B82cC,1
0x196EB61840cA3165A9940D6b078eea73480940a6,1
0x19f928a2BA7Fe4745F05dCd3f2e89BC2584F931e,1
0x1a3E54C1e519988D76876B3BE0D4798549b3a80D,1
0x1A415341ea3bA72ef77F7851CDC6242D660c796b,2
0x1bA070217eEFcD3983E206AD214977d59704a388,1
0x1D16d60B56443a15DF4A12Fe25E6E7f2BBB23C6A,1
0x1d6353c94d00901F41f4d7322c61c363203AFa8b,2
